qid,type,rr
QE:DOID:0060674:0,QE,0.0
QE:DOID:4744:0,QE,0.0
QE:DOID:0080677:0,QE,0.0
QE:DOID:7363:0,QE,0.0
QE:DOID:0110551:0,QE,0.0
QE:DOID:0110551:1,QE,0.0
QE:DOID:0111757:0,QE,0.0
QE:DOID:0111757:1,QE,0.0
QE:DOID:8135:0,QE,1.0
QE:DOID:8135:1,QE,0.5
QE:DOID:0060974:0,QE,0.0
QE:DOID:12341:0,QE,0.0
QE:DOID:10192:0,QE,0.0
QE:DOID:4329:0,QE,0.0
QE:DOID:2648:0,QE,0.0
QE:DOID:2648:1,QE,0.0
QE:DOID:10289:0,QE,0.0
QE:DOID:10289:1,QE,0.0
QE:DOID:0110104:0,QE,0.0
QE:DOID:0110104:1,QE,0.0
QE:DOID:0040002:0,QE,0.0
QE:DOID:0040002:1,QE,0.0
QE:DOID:0050934:0,QE,0.0
QE:DOID:0050934:1,QE,0.0
QE:DOID:718:0,QE,0.0
QE:DOID:718:1,QE,0.0
QE:DOID:0110331:0,QE,0.0
QE:DOID:0110331:1,QE,0.0
QE:DOID:0070059:0,QE,0.0
QE:DOID:0070059:1,QE,0.0
QE:DOID:9574:0,QE,0.0
QE:DOID:9574:1,QE,0.0
QE:DOID:5746:0,QE,0.0
QE:DOID:5746:1,QE,0.0
QE:DOID:0110496:0,QE,0.0
QE:DOID:0110496:1,QE,0.0
QE:DOID:1060:0,QE,0.0
QE:DOID:1060:1,QE,0.0
QE:DOID:3197:0,QE,0.0
QE:DOID:3197:1,QE,0.0
QE:DOID:0081307:0,QE,0.0
QE:DOID:1607:0,QE,0.0
QE:DOID:7577:0,QE,0.0
QE:DOID:0060806:0,QE,0.0
QE:DOID:0060806:1,QE,0.0
QE:DOID:13709:0,QE,0.0
QE:DOID:11382:0,QE,0.0
QE:DOID:0070654:0,QE,0.0
QE:DOID:5153:0,QE,0.0
QE:DOID:3230:0,QE,0.0
QE:DOID:0110865:0,QE,0.0
QE:DOID:0110865:1,QE,0.0
QE:DOID:5679:0,QE,0.0
QE:DOID:0061180:0,QE,0.0
QE:DOID:0110821:0,QE,0.0
QE:DOID:0110821:1,QE,0.0
QE:DOID:0081071:0,QE,0.0
QE:DOID:0081071:1,QE,0.0
QE:DOID:0050105:0,QE,0.0
QE:DOID:13250:0,QE,0.0
QE:DOID:13250:1,QE,0.0
QE:DOID:5414:0,QE,0.0
QE:DOID:5414:1,QE,0.0
QE:DOID:12558:0,QE,0.0
QE:DOID:12558:1,QE,0.0
QE:DOID:0040028:0,QE,0.0
QE:DOID:0040028:1,QE,0.0
QE:DOID:0110757:0,QE,0.0
QE:DOID:0110757:1,QE,0.0
QE:DOID:0080805:0,QE,0.0
QE:DOID:14233:0,QE,0.0
QE:DOID:0060696:0,QE,0.0
QE:DOID:0060696:1,QE,0.0
QE:DOID:5897:0,QE,0.0
QE:DOID:5731:0,QE,0.0
QE:DOID:13271:0,QE,0.0
QE:DOID:13271:1,QE,0.0
QE:DOID:0111782:0,QE,0.0
QE:DOID:0111782:1,QE,0.0
QE:DOID:0070430:0,QE,0.0
QE:DOID:0070430:1,QE,0.0
QE:DOID:2559:0,QE,0.0
QE:DOID:2559:1,QE,0.0
QE:DOID:0111535:0,QE,0.0
QE:DOID:0111535:1,QE,0.0
QE:DOID:1283:0,QE,0.0
QE:DOID:1283:1,QE,0.0
QE:DOID:0090107:0,QE,0.0
QE:DOID:0090107:1,QE,0.0
QE:DOID:0080315:0,QE,0.0
QE:DOID:0080315:1,QE,0.0
QE:DOID:11729:0,QE,0.0
QE:DOID:11729:1,QE,0.0
QE:DOID:11265:0,QE,0.0
QE:DOID:11265:1,QE,0.0
QE:DOID:0080496:0,QE,0.0
QE:DOID:10302:0,QE,0.0
QE:DOID:12387:0,QE,0.0
QE:DOID:12387:1,QE,0.0
QE:DOID:0070616:0,QE,0.0
QE:DOID:0070616:1,QE,0.0
QE:DOID:5042:0,QE,0.0
QE:DOID:5042:1,QE,0.0
QE:DOID:3614:0,QE,0.0
QE:DOID:3614:1,QE,0.0
QE:DOID:0061142:0,QE,0.0
QE:DOID:0061142:1,QE,0.0
QE:DOID:0110444:0,QE,0.0
QE:DOID:0110444:1,QE,0.0
QE:DOID:0061083:0,QE,0.0
QE:DOID:0080497:0,QE,0.0
QE:DOID:0060781:0,QE,0.0
QE:DOID:0060781:1,QE,0.0
QE:DOID:8394:0,QE,0.0
QE:DOID:0110733:0,QE,0.0
QE:DOID:0110733:1,QE,0.0
QE:DOID:0112050:0,QE,0.0
QE:DOID:0112050:1,QE,0.0
QE:DOID:0080811:0,QE,0.0
QE:DOID:0080811:1,QE,0.0
QE:DOID:12191:0,QE,0.0
QE:DOID:12191:1,QE,0.0
QE:DOID:0111195:0,QE,0.0
QE:DOID:11125:0,QE,0.0
QE:DOID:11125:1,QE,0.0
QE:DOID:0050133:0,QE,0.0
QE:DOID:0050133:1,QE,0.0
QE:DOID:10772:0,QE,0.0
QE:DOID:10772:1,QE,0.0
QE:DOID:0112129:0,QE,0.3333333333333333
QE:DOID:0112129:1,QE,0.0
QE:DOID:0060168:0,QE,0.0
QE:DOID:0060168:1,QE,0.0
QE:DOID:2739:0,QE,0.0
QE:DOID:2739:1,QE,0.0
QE:DOID:5893:0,QE,0.0
QE:DOID:0112011:0,QE,0.0
QE:DOID:0112011:1,QE,0.0
QE:DOID:5761:0,QE,0.0
QE:DOID:12349:0,QE,0.0
QE:DOID:12349:1,QE,0.0
QE:DOID:0090109:0,QE,0.0
QE:DOID:0090109:1,QE,0.0
QE:DOID:0060652:0,QE,0.0
QE:DOID:0060652:1,QE,0.0
QE:DOID:0111769:0,QE,0.0
QE:DOID:0111769:1,QE,0.0
QE:DOID:5890:0,QE,0.0
QE:DOID:0110812:0,QE,0.0
QE:DOID:0110812:1,QE,0.0
QE:DOID:11289:0,QE,0.0
QE:DOID:11289:1,QE,0.0
QE:DOID:4627:0,QE,0.0
