qid,type,rr
QE:HP:0031419:0,QE,1.0
QE:HP:0031419:1,QE,1.0
QE:HP:0003073:0,QE,1.0
QE:HP:0003073:1,QE,1.0
QE:HP:0032459:0,QE,1.0
QE:HP:0430036:0,QE,1.0
QE:HP:0041173:0,QE,1.0
QE:HP:0041173:1,QE,1.0
QE:HP:0025484:0,QE,1.0
QE:HP:0025484:1,QE,1.0
QE:HP:6000832:0,QE,1.0
QE:HP:0034687:0,QE,1.0
QE:HP:6001006:0,QE,1.0
QE:HP:6001006:1,QE,1.0
QE:HP:0012253:0,QE,0.16666666666666666
QE:HP:0012769:0,QE,0.25
QE:HP:0012769:1,QE,0.25
QE:HP:4000197:0,QE,1.0
QE:HP:4000197:1,QE,1.0
QE:HP:0025513:0,QE,1.0
QE:HP:6000002:0,QE,1.0
QE:HP:0033793:0,QE,1.0
QE:HP:6000218:0,QE,1.0
QE:HP:6000218:1,QE,1.0
QE:HP:0002973:0,QE,0.5
QE:HP:0002973:1,QE,1.0
QE:HP:0001520:0,QE,0.0
QE:HP:0001520:1,QE,0.0
QE:HP:0008062:0,QE,1.0
QE:HP:0005916:0,QE,1.0
QE:HP:0005916:1,QE,0.5
QE:HP:0003271:0,QE,1.0
QE:HP:0002665:0,QE,0.5
QE:HP:0002665:1,QE,1.0
QE:HP:0100881:0,QE,1.0
QE:HP:0025142:0,QE,1.0
QE:HP:0001291:0,QE,1.0
QE:HP:0001291:1,QE,1.0
QE:HP:0011135:0,QE,1.0
QE:HP:0011135:1,QE,1.0
QE:HP:0011335:0,QE,1.0
QE:HP:0011335:1,QE,0.3333333333333333
QE:HP:0011021:0,QE,0.3333333333333333
QE:HP:0011021:1,QE,0.5
QE:HP:0030247:0,QE,0.5
QE:HP:0030247:1,QE,1.0
QE:HP:0020053:0,QE,1.0
QE:HP:6000775:0,QE,1.0
QE:HP:0031217:0,QE,1.0
QE:HP:0033589:0,QE,0.25
QE:HP:6001123:0,QE,0.5
QE:HP:0003351:0,QE,1.0
QE:HP:0003351:1,QE,1.0
QE:HP:0040279:0,QE,1.0
QE:HP:0030086:0,QE,0.0
QE:HP:0030086:1,QE,1.0
QE:HP:6000964:0,QE,1.0
QE:HP:6000318:0,QE,0.25
QE:HP:0011892:0,QE,1.0
QE:HP:0011892:1,QE,1.0
QE:HP:6000216:0,QE,1.0
QE:HP:0031796:0,QE,0.3333333333333333
QE:HP:0031796:1,QE,1.0
QE:HP:6000320:0,QE,1.0
QE:HP:0005359:0,QE,0.0
QE:HP:0005359:1,QE,1.0
QE:HP:0030271:0,QE,1.0
QE:HP:6000393:0,QE,0.0
QE:HP:6000393:1,QE,0.5
QE:HP:0030796:0,QE,1.0
QE:HP:0030796:1,QE,1.0
QE:HP:0004299:0,QE,1.0
QE:HP:0004299:1,QE,1.0
